No,Date,Company Name,Announcement
1,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement on Shares Buy Back
No,Date,Company Name,Announcement
1,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement on Shares Buy Back
2,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement of Changes in Treasury Shares
No,Date,Company Name,Announcement
1,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement on Shares Buy Back
2,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement of Changes in Treasury Shares
3,29 Jan 2021 29 Jan 2021,MITRAJAYA HOLDINGS BERHAD,Immediate Announcement on Shares Buy Back
No,Date,Company Name,Announcement
1,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement on Shares Buy Back
2,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement of Changes in Treasury Shares
3,29 Jan 2021 29 Jan 2021,MITRAJAYA HOLDINGS BERHAD,Immediate Announcement on Shares Buy Back
4,29 Jan 2021 29 Jan 2021,KUMPULAN H & L HIGH-TECH BERHAD,Immediate Announcement of Changes in Treasury Shares
No,Date,Company Name,Announcement
1,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement on Shares Buy Back
2,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement of Changes in Treasury Shares
3,29 Jan 2021 29 Jan 2021,MITRAJAYA HOLDINGS BERHAD,Immediate Announcement on Shares Buy Back
4,29 Jan 2021 29 Jan 2021,KUMPULAN H & L HIGH-TECH BERHAD,Immediate Announcement of Changes in Treasury Shares
5,29 Jan 2021 29 Jan 2021,RANHILL UTILITIES BERHAD,Immediate Announcement on Shares Buy Back
No,Date,Company Name,Announcement
1,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement on Shares Buy Back
2,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement of Changes in Treasury Shares
3,29 Jan 2021 29 Jan 2021,MITRAJAYA HOLDINGS BERHAD,Immediate Announcement on Shares Buy Back
4,29 Jan 2021 29 Jan 2021,KUMPULAN H & L HIGH-TECH BERHAD,Immediate Announcement of Changes in Treasury Shares
5,29 Jan 2021 29 Jan 2021,RANHILL UTILITIES BERHAD,Immediate Announcement on Shares Buy Back
6,29 Jan 2021 29 Jan 2021,TROPICANA CORPORATION BERHAD,Immediate Announcement on Shares Buy Back
No,Date,Company Name,Announcement
1,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement on Shares Buy Back
2,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement of Changes in Treasury Shares
3,29 Jan 2021 29 Jan 2021,MITRAJAYA HOLDINGS BERHAD,Immediate Announcement on Shares Buy Back
4,29 Jan 2021 29 Jan 2021,KUMPULAN H & L HIGH-TECH BERHAD,Immediate Announcement of Changes in Treasury Shares
5,29 Jan 2021 29 Jan 2021,RANHILL UTILITIES BERHAD,Immediate Announcement on Shares Buy Back
6,29 Jan 2021 29 Jan 2021,TROPICANA CORPORATION BERHAD,Immediate Announcement on Shares Buy Back
7,29 Jan 2021 29 Jan 2021,SALCON BERHAD,Immediate Announcement on Shares Buy Back
No,Date,Company Name,Announcement
1,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement on Shares Buy Back
2,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement of Changes in Treasury Shares
3,29 Jan 2021 29 Jan 2021,MITRAJAYA HOLDINGS BERHAD,Immediate Announcement on Shares Buy Back
4,29 Jan 2021 29 Jan 2021,KUMPULAN H & L HIGH-TECH BERHAD,Immediate Announcement of Changes in Treasury Shares
5,29 Jan 2021 29 Jan 2021,RANHILL UTILITIES BERHAD,Immediate Announcement on Shares Buy Back
6,29 Jan 2021 29 Jan 2021,TROPICANA CORPORATION BERHAD,Immediate Announcement on Shares Buy Back
7,29 Jan 2021 29 Jan 2021,SALCON BERHAD,Immediate Announcement on Shares Buy Back
8,29 Jan 2021 29 Jan 2021,GLOMAC BERHAD,Immediate Announcement on Shares Buy Back
No,Date,Company Name,Announcement
1,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement on Shares Buy Back
2,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement of Changes in Treasury Shares
3,29 Jan 2021 29 Jan 2021,MITRAJAYA HOLDINGS BERHAD,Immediate Announcement on Shares Buy Back
4,29 Jan 2021 29 Jan 2021,KUMPULAN H & L HIGH-TECH BERHAD,Immediate Announcement of Changes in Treasury Shares
5,29 Jan 2021 29 Jan 2021,RANHILL UTILITIES BERHAD,Immediate Announcement on Shares Buy Back
6,29 Jan 2021 29 Jan 2021,TROPICANA CORPORATION BERHAD,Immediate Announcement on Shares Buy Back
7,29 Jan 2021 29 Jan 2021,SALCON BERHAD,Immediate Announcement on Shares Buy Back
8,29 Jan 2021 29 Jan 2021,GLOMAC BERHAD,Immediate Announcement on Shares Buy Back
9,29 Jan 2021 29 Jan 2021,CHIN WELL HOLDINGS BERHAD,Immediate Announcement on Shares Buy Back
No,Date,Company Name,Announcement
1,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement on Shares Buy Back
2,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement of Changes in Treasury Shares
3,29 Jan 2021 29 Jan 2021,MITRAJAYA HOLDINGS BERHAD,Immediate Announcement on Shares Buy Back
4,29 Jan 2021 29 Jan 2021,KUMPULAN H & L HIGH-TECH BERHAD,Immediate Announcement of Changes in Treasury Shares
5,29 Jan 2021 29 Jan 2021,RANHILL UTILITIES BERHAD,Immediate Announcement on Shares Buy Back
6,29 Jan 2021 29 Jan 2021,TROPICANA CORPORATION BERHAD,Immediate Announcement on Shares Buy Back
7,29 Jan 2021 29 Jan 2021,SALCON BERHAD,Immediate Announcement on Shares Buy Back
8,29 Jan 2021 29 Jan 2021,GLOMAC BERHAD,Immediate Announcement on Shares Buy Back
9,29 Jan 2021 29 Jan 2021,CHIN WELL HOLDINGS BERHAD,Immediate Announcement on Shares Buy Back
10,29 Jan 2021 29 Jan 2021,KUMPULAN FIMA BERHAD,Immediate Announcement on Shares Buy Back
No,Date,Company Name,Announcement
1,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement on Shares Buy Back
2,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement of Changes in Treasury Shares
3,29 Jan 2021 29 Jan 2021,MITRAJAYA HOLDINGS BERHAD,Immediate Announcement on Shares Buy Back
4,29 Jan 2021 29 Jan 2021,KUMPULAN H & L HIGH-TECH BERHAD,Immediate Announcement of Changes in Treasury Shares
5,29 Jan 2021 29 Jan 2021,RANHILL UTILITIES BERHAD,Immediate Announcement on Shares Buy Back
6,29 Jan 2021 29 Jan 2021,TROPICANA CORPORATION BERHAD,Immediate Announcement on Shares Buy Back
7,29 Jan 2021 29 Jan 2021,SALCON BERHAD,Immediate Announcement on Shares Buy Back
8,29 Jan 2021 29 Jan 2021,GLOMAC BERHAD,Immediate Announcement on Shares Buy Back
9,29 Jan 2021 29 Jan 2021,CHIN WELL HOLDINGS BERHAD,Immediate Announcement on Shares Buy Back
10,29 Jan 2021 29 Jan 2021,KUMPULAN FIMA BERHAD,Immediate Announcement on Shares Buy Back
11,29 Jan 2021 29 Jan 2021,LATITUDE TREE HOLDINGS BERHAD,Notice of Sale or Cancellation of Treasury Shares (Section 127 of CA 2016)
No,Date,Company Name,Announcement
1,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement on Shares Buy Back
2,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement of Changes in Treasury Shares
3,29 Jan 2021 29 Jan 2021,MITRAJAYA HOLDINGS BERHAD,Immediate Announcement on Shares Buy Back
4,29 Jan 2021 29 Jan 2021,KUMPULAN H & L HIGH-TECH BERHAD,Immediate Announcement of Changes in Treasury Shares
5,29 Jan 2021 29 Jan 2021,RANHILL UTILITIES BERHAD,Immediate Announcement on Shares Buy Back
6,29 Jan 2021 29 Jan 2021,TROPICANA CORPORATION BERHAD,Immediate Announcement on Shares Buy Back
7,29 Jan 2021 29 Jan 2021,SALCON BERHAD,Immediate Announcement on Shares Buy Back
8,29 Jan 2021 29 Jan 2021,GLOMAC BERHAD,Immediate Announcement on Shares Buy Back
9,29 Jan 2021 29 Jan 2021,CHIN WELL HOLDINGS BERHAD,Immediate Announcement on Shares Buy Back
10,29 Jan 2021 29 Jan 2021,KUMPULAN FIMA BERHAD,Immediate Announcement on Shares Buy Back
11,29 Jan 2021 29 Jan 2021,LATITUDE TREE HOLDINGS BERHAD,Notice of Sale or Cancellation of Treasury Shares (Section 127 of CA 2016)
12,29 Jan 2021 29 Jan 2021,YBS INTERNATIONAL BERHAD,Immediate Announcement of Changes in Treasury Shares (Amended Announcement)
No,Date,Company Name,Announcement
1,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement on Shares Buy Back
2,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement of Changes in Treasury Shares
3,29 Jan 2021 29 Jan 2021,MITRAJAYA HOLDINGS BERHAD,Immediate Announcement on Shares Buy Back
4,29 Jan 2021 29 Jan 2021,KUMPULAN H & L HIGH-TECH BERHAD,Immediate Announcement of Changes in Treasury Shares
5,29 Jan 2021 29 Jan 2021,RANHILL UTILITIES BERHAD,Immediate Announcement on Shares Buy Back
6,29 Jan 2021 29 Jan 2021,TROPICANA CORPORATION BERHAD,Immediate Announcement on Shares Buy Back
7,29 Jan 2021 29 Jan 2021,SALCON BERHAD,Immediate Announcement on Shares Buy Back
8,29 Jan 2021 29 Jan 2021,GLOMAC BERHAD,Immediate Announcement on Shares Buy Back
9,29 Jan 2021 29 Jan 2021,CHIN WELL HOLDINGS BERHAD,Immediate Announcement on Shares Buy Back
10,29 Jan 2021 29 Jan 2021,KUMPULAN FIMA BERHAD,Immediate Announcement on Shares Buy Back
11,29 Jan 2021 29 Jan 2021,LATITUDE TREE HOLDINGS BERHAD,Notice of Sale or Cancellation of Treasury Shares (Section 127 of CA 2016)
12,29 Jan 2021 29 Jan 2021,YBS INTERNATIONAL BERHAD,Immediate Announcement of Changes in Treasury Shares (Amended Announcement)
13,29 Jan 2021 29 Jan 2021,GEORGE KENT (MALAYSIA) BERHAD,Immediate Announcement on Shares Buy Back
No,Date,Company Name,Announcement
1,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement on Shares Buy Back
2,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement of Changes in Treasury Shares
3,29 Jan 2021 29 Jan 2021,MITRAJAYA HOLDINGS BERHAD,Immediate Announcement on Shares Buy Back
4,29 Jan 2021 29 Jan 2021,KUMPULAN H & L HIGH-TECH BERHAD,Immediate Announcement of Changes in Treasury Shares
5,29 Jan 2021 29 Jan 2021,RANHILL UTILITIES BERHAD,Immediate Announcement on Shares Buy Back
6,29 Jan 2021 29 Jan 2021,TROPICANA CORPORATION BERHAD,Immediate Announcement on Shares Buy Back
7,29 Jan 2021 29 Jan 2021,SALCON BERHAD,Immediate Announcement on Shares Buy Back
8,29 Jan 2021 29 Jan 2021,GLOMAC BERHAD,Immediate Announcement on Shares Buy Back
9,29 Jan 2021 29 Jan 2021,CHIN WELL HOLDINGS BERHAD,Immediate Announcement on Shares Buy Back
10,29 Jan 2021 29 Jan 2021,KUMPULAN FIMA BERHAD,Immediate Announcement on Shares Buy Back
11,29 Jan 2021 29 Jan 2021,LATITUDE TREE HOLDINGS BERHAD,Notice of Sale or Cancellation of Treasury Shares (Section 127 of CA 2016)
12,29 Jan 2021 29 Jan 2021,YBS INTERNATIONAL BERHAD,Immediate Announcement of Changes in Treasury Shares (Amended Announcement)
13,29 Jan 2021 29 Jan 2021,GEORGE KENT (MALAYSIA) BERHAD,Immediate Announcement on Shares Buy Back
14,29 Jan 2021 29 Jan 2021,KUMPULAN H & L HIGH-TECH BERHAD,Notice of Sale or Cancellation of Treasury Shares (Section 127 of CA 2016)
No,Date,Company Name,Announcement
1,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement on Shares Buy Back
2,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement of Changes in Treasury Shares
3,29 Jan 2021 29 Jan 2021,MITRAJAYA HOLDINGS BERHAD,Immediate Announcement on Shares Buy Back
4,29 Jan 2021 29 Jan 2021,KUMPULAN H & L HIGH-TECH BERHAD,Immediate Announcement of Changes in Treasury Shares
5,29 Jan 2021 29 Jan 2021,RANHILL UTILITIES BERHAD,Immediate Announcement on Shares Buy Back
6,29 Jan 2021 29 Jan 2021,TROPICANA CORPORATION BERHAD,Immediate Announcement on Shares Buy Back
7,29 Jan 2021 29 Jan 2021,SALCON BERHAD,Immediate Announcement on Shares Buy Back
8,29 Jan 2021 29 Jan 2021,GLOMAC BERHAD,Immediate Announcement on Shares Buy Back
9,29 Jan 2021 29 Jan 2021,CHIN WELL HOLDINGS BERHAD,Immediate Announcement on Shares Buy Back
10,29 Jan 2021 29 Jan 2021,KUMPULAN FIMA BERHAD,Immediate Announcement on Shares Buy Back
11,29 Jan 2021 29 Jan 2021,LATITUDE TREE HOLDINGS BERHAD,Notice of Sale or Cancellation of Treasury Shares (Section 127 of CA 2016)
12,29 Jan 2021 29 Jan 2021,YBS INTERNATIONAL BERHAD,Immediate Announcement of Changes in Treasury Shares (Amended Announcement)
13,29 Jan 2021 29 Jan 2021,GEORGE KENT (MALAYSIA) BERHAD,Immediate Announcement on Shares Buy Back
14,29 Jan 2021 29 Jan 2021,KUMPULAN H & L HIGH-TECH BERHAD,Notice of Sale or Cancellation of Treasury Shares (Section 127 of CA 2016)
15,29 Jan 2021 29 Jan 2021,LATITUDE TREE HOLDINGS BERHAD,Immediate Announcement of Changes in Treasury Shares
No,Date,Company Name,Announcement
1,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement on Shares Buy Back
2,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement of Changes in Treasury Shares
3,29 Jan 2021 29 Jan 2021,MITRAJAYA HOLDINGS BERHAD,Immediate Announcement on Shares Buy Back
4,29 Jan 2021 29 Jan 2021,KUMPULAN H & L HIGH-TECH BERHAD,Immediate Announcement of Changes in Treasury Shares
5,29 Jan 2021 29 Jan 2021,RANHILL UTILITIES BERHAD,Immediate Announcement on Shares Buy Back
6,29 Jan 2021 29 Jan 2021,TROPICANA CORPORATION BERHAD,Immediate Announcement on Shares Buy Back
7,29 Jan 2021 29 Jan 2021,SALCON BERHAD,Immediate Announcement on Shares Buy Back
8,29 Jan 2021 29 Jan 2021,GLOMAC BERHAD,Immediate Announcement on Shares Buy Back
9,29 Jan 2021 29 Jan 2021,CHIN WELL HOLDINGS BERHAD,Immediate Announcement on Shares Buy Back
10,29 Jan 2021 29 Jan 2021,KUMPULAN FIMA BERHAD,Immediate Announcement on Shares Buy Back
11,29 Jan 2021 29 Jan 2021,LATITUDE TREE HOLDINGS BERHAD,Notice of Sale or Cancellation of Treasury Shares (Section 127 of CA 2016)
12,29 Jan 2021 29 Jan 2021,YBS INTERNATIONAL BERHAD,Immediate Announcement of Changes in Treasury Shares (Amended Announcement)
13,29 Jan 2021 29 Jan 2021,GEORGE KENT (MALAYSIA) BERHAD,Immediate Announcement on Shares Buy Back
14,29 Jan 2021 29 Jan 2021,KUMPULAN H & L HIGH-TECH BERHAD,Notice of Sale or Cancellation of Treasury Shares (Section 127 of CA 2016)
15,29 Jan 2021 29 Jan 2021,LATITUDE TREE HOLDINGS BERHAD,Immediate Announcement of Changes in Treasury Shares
16,29 Jan 2021 29 Jan 2021,CJ CENTURY LOGISTICS HOLDINGS BERHAD,Notice of SBB by a Company Pursuant to Section 127 (16) of CA 2016
No,Date,Company Name,Announcement
1,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement on Shares Buy Back
2,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement of Changes in Treasury Shares
3,29 Jan 2021 29 Jan 2021,MITRAJAYA HOLDINGS BERHAD,Immediate Announcement on Shares Buy Back
4,29 Jan 2021 29 Jan 2021,KUMPULAN H & L HIGH-TECH BERHAD,Immediate Announcement of Changes in Treasury Shares
5,29 Jan 2021 29 Jan 2021,RANHILL UTILITIES BERHAD,Immediate Announcement on Shares Buy Back
6,29 Jan 2021 29 Jan 2021,TROPICANA CORPORATION BERHAD,Immediate Announcement on Shares Buy Back
7,29 Jan 2021 29 Jan 2021,SALCON BERHAD,Immediate Announcement on Shares Buy Back
8,29 Jan 2021 29 Jan 2021,GLOMAC BERHAD,Immediate Announcement on Shares Buy Back
9,29 Jan 2021 29 Jan 2021,CHIN WELL HOLDINGS BERHAD,Immediate Announcement on Shares Buy Back
10,29 Jan 2021 29 Jan 2021,KUMPULAN FIMA BERHAD,Immediate Announcement on Shares Buy Back
11,29 Jan 2021 29 Jan 2021,LATITUDE TREE HOLDINGS BERHAD,Notice of Sale or Cancellation of Treasury Shares (Section 127 of CA 2016)
12,29 Jan 2021 29 Jan 2021,YBS INTERNATIONAL BERHAD,Immediate Announcement of Changes in Treasury Shares (Amended Announcement)
13,29 Jan 2021 29 Jan 2021,GEORGE KENT (MALAYSIA) BERHAD,Immediate Announcement on Shares Buy Back
14,29 Jan 2021 29 Jan 2021,KUMPULAN H & L HIGH-TECH BERHAD,Notice of Sale or Cancellation of Treasury Shares (Section 127 of CA 2016)
15,29 Jan 2021 29 Jan 2021,LATITUDE TREE HOLDINGS BERHAD,Immediate Announcement of Changes in Treasury Shares
16,29 Jan 2021 29 Jan 2021,CJ CENTURY LOGISTICS HOLDINGS BERHAD,Notice of SBB by a Company Pursuant to Section 127 (16) of CA 2016
17,27 Jan 2021 27 Jan 2021,YBS INTERNATIONAL BERHAD,Immediate Announcement of Changes in Treasury Shares
No,Date,Company Name,Announcement
1,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement on Shares Buy Back
2,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement of Changes in Treasury Shares
3,29 Jan 2021 29 Jan 2021,MITRAJAYA HOLDINGS BERHAD,Immediate Announcement on Shares Buy Back
4,29 Jan 2021 29 Jan 2021,KUMPULAN H & L HIGH-TECH BERHAD,Immediate Announcement of Changes in Treasury Shares
5,29 Jan 2021 29 Jan 2021,RANHILL UTILITIES BERHAD,Immediate Announcement on Shares Buy Back
6,29 Jan 2021 29 Jan 2021,TROPICANA CORPORATION BERHAD,Immediate Announcement on Shares Buy Back
7,29 Jan 2021 29 Jan 2021,SALCON BERHAD,Immediate Announcement on Shares Buy Back
8,29 Jan 2021 29 Jan 2021,GLOMAC BERHAD,Immediate Announcement on Shares Buy Back
9,29 Jan 2021 29 Jan 2021,CHIN WELL HOLDINGS BERHAD,Immediate Announcement on Shares Buy Back
10,29 Jan 2021 29 Jan 2021,KUMPULAN FIMA BERHAD,Immediate Announcement on Shares Buy Back
11,29 Jan 2021 29 Jan 2021,LATITUDE TREE HOLDINGS BERHAD,Notice of Sale or Cancellation of Treasury Shares (Section 127 of CA 2016)
12,29 Jan 2021 29 Jan 2021,YBS INTERNATIONAL BERHAD,Immediate Announcement of Changes in Treasury Shares (Amended Announcement)
13,29 Jan 2021 29 Jan 2021,GEORGE KENT (MALAYSIA) BERHAD,Immediate Announcement on Shares Buy Back
14,29 Jan 2021 29 Jan 2021,KUMPULAN H & L HIGH-TECH BERHAD,Notice of Sale or Cancellation of Treasury Shares (Section 127 of CA 2016)
15,29 Jan 2021 29 Jan 2021,LATITUDE TREE HOLDINGS BERHAD,Immediate Announcement of Changes in Treasury Shares
16,29 Jan 2021 29 Jan 2021,CJ CENTURY LOGISTICS HOLDINGS BERHAD,Notice of SBB by a Company Pursuant to Section 127 (16) of CA 2016
17,27 Jan 2021 27 Jan 2021,YBS INTERNATIONAL BERHAD,Immediate Announcement of Changes in Treasury Shares
18,27 Jan 2021 27 Jan 2021,KENANGA INVESTMENT BANK BERHAD,Notice of Sale or Cancellation of Treasury Shares (Section 127 of CA 2016)
No,Date,Company Name,Announcement
1,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement on Shares Buy Back
2,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement of Changes in Treasury Shares
3,29 Jan 2021 29 Jan 2021,MITRAJAYA HOLDINGS BERHAD,Immediate Announcement on Shares Buy Back
4,29 Jan 2021 29 Jan 2021,KUMPULAN H & L HIGH-TECH BERHAD,Immediate Announcement of Changes in Treasury Shares
5,29 Jan 2021 29 Jan 2021,RANHILL UTILITIES BERHAD,Immediate Announcement on Shares Buy Back
6,29 Jan 2021 29 Jan 2021,TROPICANA CORPORATION BERHAD,Immediate Announcement on Shares Buy Back
7,29 Jan 2021 29 Jan 2021,SALCON BERHAD,Immediate Announcement on Shares Buy Back
8,29 Jan 2021 29 Jan 2021,GLOMAC BERHAD,Immediate Announcement on Shares Buy Back
9,29 Jan 2021 29 Jan 2021,CHIN WELL HOLDINGS BERHAD,Immediate Announcement on Shares Buy Back
10,29 Jan 2021 29 Jan 2021,KUMPULAN FIMA BERHAD,Immediate Announcement on Shares Buy Back
11,29 Jan 2021 29 Jan 2021,LATITUDE TREE HOLDINGS BERHAD,Notice of Sale or Cancellation of Treasury Shares (Section 127 of CA 2016)
12,29 Jan 2021 29 Jan 2021,YBS INTERNATIONAL BERHAD,Immediate Announcement of Changes in Treasury Shares (Amended Announcement)
13,29 Jan 2021 29 Jan 2021,GEORGE KENT (MALAYSIA) BERHAD,Immediate Announcement on Shares Buy Back
14,29 Jan 2021 29 Jan 2021,KUMPULAN H & L HIGH-TECH BERHAD,Notice of Sale or Cancellation of Treasury Shares (Section 127 of CA 2016)
15,29 Jan 2021 29 Jan 2021,LATITUDE TREE HOLDINGS BERHAD,Immediate Announcement of Changes in Treasury Shares
16,29 Jan 2021 29 Jan 2021,CJ CENTURY LOGISTICS HOLDINGS BERHAD,Notice of SBB by a Company Pursuant to Section 127 (16) of CA 2016
17,27 Jan 2021 27 Jan 2021,YBS INTERNATIONAL BERHAD,Immediate Announcement of Changes in Treasury Shares
18,27 Jan 2021 27 Jan 2021,KENANGA INVESTMENT BANK BERHAD,Notice of Sale or Cancellation of Treasury Shares (Section 127 of CA 2016)
19,27 Jan 2021 27 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement on Shares Buy Back
No,Date,Company Name,Announcement
1,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement on Shares Buy Back
2,29 Jan 2021 29 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement of Changes in Treasury Shares
3,29 Jan 2021 29 Jan 2021,MITRAJAYA HOLDINGS BERHAD,Immediate Announcement on Shares Buy Back
4,29 Jan 2021 29 Jan 2021,KUMPULAN H & L HIGH-TECH BERHAD,Immediate Announcement of Changes in Treasury Shares
5,29 Jan 2021 29 Jan 2021,RANHILL UTILITIES BERHAD,Immediate Announcement on Shares Buy Back
6,29 Jan 2021 29 Jan 2021,TROPICANA CORPORATION BERHAD,Immediate Announcement on Shares Buy Back
7,29 Jan 2021 29 Jan 2021,SALCON BERHAD,Immediate Announcement on Shares Buy Back
8,29 Jan 2021 29 Jan 2021,GLOMAC BERHAD,Immediate Announcement on Shares Buy Back
9,29 Jan 2021 29 Jan 2021,CHIN WELL HOLDINGS BERHAD,Immediate Announcement on Shares Buy Back
10,29 Jan 2021 29 Jan 2021,KUMPULAN FIMA BERHAD,Immediate Announcement on Shares Buy Back
11,29 Jan 2021 29 Jan 2021,LATITUDE TREE HOLDINGS BERHAD,Notice of Sale or Cancellation of Treasury Shares (Section 127 of CA 2016)
12,29 Jan 2021 29 Jan 2021,YBS INTERNATIONAL BERHAD,Immediate Announcement of Changes in Treasury Shares (Amended Announcement)
13,29 Jan 2021 29 Jan 2021,GEORGE KENT (MALAYSIA) BERHAD,Immediate Announcement on Shares Buy Back
14,29 Jan 2021 29 Jan 2021,KUMPULAN H & L HIGH-TECH BERHAD,Notice of Sale or Cancellation of Treasury Shares (Section 127 of CA 2016)
15,29 Jan 2021 29 Jan 2021,LATITUDE TREE HOLDINGS BERHAD,Immediate Announcement of Changes in Treasury Shares
16,29 Jan 2021 29 Jan 2021,CJ CENTURY LOGISTICS HOLDINGS BERHAD,Notice of SBB by a Company Pursuant to Section 127 (16) of CA 2016
17,27 Jan 2021 27 Jan 2021,YBS INTERNATIONAL BERHAD,Immediate Announcement of Changes in Treasury Shares
18,27 Jan 2021 27 Jan 2021,KENANGA INVESTMENT BANK BERHAD,Notice of Sale or Cancellation of Treasury Shares (Section 127 of CA 2016)
19,27 Jan 2021 27 Jan 2021,UNIMECH GROUP BERHAD,Immediate Announcement on Shares Buy Back
20,27 Jan 2021 27 Jan 2021,ECOFIRST CONSOLIDATED BHD,Immediate Announcement of Changes in Treasury Shares
